,rutenavn,rutenummer,merking,rutetype,informasjon,geometry
0,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.894882675544856 59.904063838023106, 10.894726046260576 59.9040797422935, 10.894618913044399 59.904095024661714, 10.894543066550053 59.904103929184004, 10.89449826170807 59.90410529179949, 10.894061068591514 59.904152532798115, 10.894032211176535 59.904154474430186)"
1,['Ukjent'],['osl'],JA,,,"LINESTRING (10.8589888175668 59.847506419394264, 10.859168475558928 59.847187812276886, 10.859404342628121 59.84683050769576)"
2,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.902435072059893 59.859822471414994, 10.902458411832477 59.859909079074235, 10.902468121764269 59.85996965648377, 10.902451479344789 59.8600284589752, 10.90241001560148 59.86017483440055, 10.90237853835036 59.86028657500363, 10.902380501107983 59.860286546646975)"
3,['Ukjent'],['osl17'],JA,,,"LINESTRING (10.763215136037973 60.05745569774958, 10.762711795759591 60.057462499451745, 10.762502482647674 60.0574652002003)"
4,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.893608628080752 59.92433049300097, 10.893696495677814 59.92428054960556, 10.893786507547187 59.92422114445177, 10.893920270759345 59.92413200971189, 10.894035647797413 59.92407502437535, 10.894211576025343 59.92399426540411, 10.89435910150144 59.9239425662544, 10.894463726361195 59.92389786045804, 10.894637676878125 59.9238263805789)"
5,['Ukjent'],['osl'],JA,,,"LINESTRING (10.813543760540641 59.97214048823218, 10.813625850259283 59.97199026653059, 10.813636068886943 59.9718757012121, 10.813632828374914 59.97171488625409, 10.81362364087445 59.9716419027235, 10.81361341566101 59.97155977227489, 10.813544207239321 59.97145078919179)"
6,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.864052670912566 59.89169576855408, 10.864043465459954 59.891560184223735, 10.864021412833933 59.89152070695717, 10.864001971335265 59.891483168737636, 10.863921750451532 59.891413617047306)"
7,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.892778521522573 59.908941475989664, 10.892672274689524 59.90906371738927, 10.892530608744023 59.90916383306809, 10.892354934057042 59.909282310680005, 10.892289236755007 59.909340917176934, 10.892235528032066 59.90942791372144, 10.89220971808128 59.90958088538969, 10.892175521429499 59.90962107595581)"
8,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.665509016387498 59.913933584772245, 10.665517203875025 59.91396491576688, 10.665520940775053 59.91399666223982, 10.665524020028627 59.914025992079175, 10.665531898392906 59.91405472241089, 10.665537371005192 59.91407827400165, 10.665548119361574 59.91409645999103, 10.665562249234261 59.914110741312456, 10.665585535557472 59.91412571526134)"
9,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.881126827793478 59.84495347851734, 10.881103912309923 59.84501236778635, 10.881600046866232 59.84529224790886, 10.882329168794978 59.84555065152054, 10.882698046652294 59.845760941348125, 10.882946893809445 59.846045610495835, 10.883656328316729 59.846277342954714, 10.883968520074344 59.84642556732539, 10.88420084117259 59.84667023192353)"
